<TICKER>	<PER>	<DATE>	<TIME>	<CLOSE>	<VOL>
ВТБ ао	M	понедельник, 1 января 2018 г.	0	0,05	352 127 560 000,00 _
ВТБ ао	M	четверг, 1 февраля 2018 г.	0	0,05	578 729 040 000,00 _
ВТБ ао	M	четверг, 1 марта 2018 г.	0	0,05	530 212 820 000,00 _
ВТБ ао	M	воскресенье, 1 апреля 2018 г.	0	0,05	754 922 430 000,00 _
ВТБ ао	M	вторник, 1 мая 2018 г.	0	0,05	502 179 250 000,00 _
ВТБ ао	M	пятница, 1 июня 2018 г.	0	0,05	543 856 810 000,00 _
ВТБ ао	M	воскресенье, 1 июля 2018 г.	0	0,05	299 820 580 000,00 _
ВТБ ао	M	среда, 1 августа 2018 г.	0	0,04	405 720 540 000,00 _
ВТБ ао	M	суббота, 1 сентября 2018 г.	0	0,04	392 395 190 000,00 _
ВТБ ао	M	понедельник, 1 октября 2018 г.	0	0,04	437 464 790 000,00 _
ВТБ ао	M	четверг, 1 ноября 2018 г.	0	0,04	459 010 120 000,00 _
ВТБ ао	M	суббота, 1 декабря 2018 г.	0	0,03	337 608 430 000,00 _
ВТБ ао	M	вторник, 1 января 2019 г.	0	0,04	322 917 130 000,00 _
ВТБ ао	M	пятница, 1 февраля 2019 г.	0	0,04	286 689 820 000,00 _
ВТБ ао	M	пятница, 1 марта 2019 г.	0	0,04	300 233 110 000,00 _
ВТБ ао	M	понедельник, 1 апреля 2019 г.	0	0,04	338 645 330 000,00 _
ВТБ ао	M	среда, 1 мая 2019 г.	0	0,04	504 487 530 000,00 _
ВТБ ао	M	суббота, 1 июня 2019 г.	0	0,04	552 706 610 000,00 _
ВТБ ао	M	понедельник, 1 июля 2019 г.	0	0,04	878 966 510 000,00 _
ВТБ ао	M	четверг, 1 августа 2019 г.	0	0,04	588 826 140 000,00 _
ВТБ ао	M	воскресенье, 1 сентября 2019 г.	0	0,04	810 694 080 000,00 _
ВТБ ао	M	вторник, 1 октября 2019 г.	0	0,04	561 078 690 000,00 _
ВТБ ао	M	пятница, 1 ноября 2019 г.	0	0,05	790 972 300 000,00 _
ВТБ ао	M	воскресенье, 1 декабря 2019 г.	0	0,05	399 669 980 000,00 _
ВТБ ао	M	среда, 1 января 2020 г.	0	0,05	799 598 550 000,00 _
ВТБ ао	M	суббота, 1 февраля 2020 г.	0	0,04	598 942 560 000,00 _
ВТБ ао	M	воскресенье, 1 марта 2020 г.	0	0,03	1 740 129 320 000,00 _
ВТБ ао	M	среда, 1 апреля 2020 г.	0	0,03	1 423 841 900 000,00 _
ВТБ ао	M	пятница, 1 мая 2020 г.	0	0,04	553 192 080 000,00 _
ВТБ ао	M	понедельник, 1 июня 2020 г.	0	0,04	644 559 090 000,00 _
ВТБ ао	M	среда, 1 июля 2020 г.	0	0,04	873 603 110 000,00 _
ВТБ ао	M	суббота, 1 августа 2020 г.	0	0,04	965 851 250 000,00 _
ГАЗПРОМ ао	M	суббота, 1 декабря 2012 г.	0	143,70	638 968 460,00 _
ГАЗПРОМ ао	M	вторник, 1 января 2013 г.	0	142,09	495 283 520,00 _
ГАЗПРОМ ао	M	пятница, 1 февраля 2013 г.	0	137,40	733 770 920,00 _
ГАЗПРОМ ао	M	пятница, 1 марта 2013 г.	0	134,08	953 973 070,00 _
ГАЗПРОМ ао	M	понедельник, 1 апреля 2013 г.	0	124,15	986 321 760,00 _
ГАЗПРОМ ао	M	среда, 1 мая 2013 г.	0	123,40	813 775 000,00 _
ГАЗПРОМ ао	M	суббота, 1 июня 2013 г.	0	109,10	769 293 390,00 _
ГАЗПРОМ ао	M	понедельник, 1 июля 2013 г.	0	128,61	879 462 790,00 _
ГАЗПРОМ ао	M	четверг, 1 августа 2013 г.	0	131,90	635 494 510,00 _
ГАЗПРОМ ао	M	воскресенье, 1 сентября 2013 г.	0	144,15	1 035 314 530,00 _
ГАЗПРОМ ао	M	вторник, 1 октября 2013 г.	0	150,40	1 120 379 070,00 _
ГАЗПРОМ ао	M	пятница, 1 ноября 2013 г.	0	143,10	1 035 969 280,00 _
ГАЗПРОМ ао	M	воскресенье, 1 декабря 2013 г.	0	138,75	1 050 788 060,00 _
ГАЗПРОМ ао	M	среда, 1 января 2014 г.	0	145,16	1 056 510 690,00 _
ГАЗПРОМ ао	M	суббота, 1 февраля 2014 г.	0	139,20	1 110 186 930,00 _
ГАЗПРОМ ао	M	суббота, 1 марта 2014 г.	0	135,50	2 038 314 440,00 _
ГАЗПРОМ ао	M	вторник, 1 апреля 2014 г.	0	128,77	1 377 698 400,00 _
ГАЗПРОМ ао	M	четверг, 1 мая 2014 г.	0	141,70	1 168 270 410,00 _
ГАЗПРОМ ао	M	воскресенье, 1 июня 2014 г.	0	148,96	885 913 470,00 _
ГАЗПРОМ ао	M	вторник, 1 июля 2014 г.	0	132,00	1 004 959 980,00 _
ГАЗПРОМ ао	M	пятница, 1 августа 2014 г.	0	131,95	851 294 800,00 _
ГАЗПРОМ ао	M	понедельник, 1 сентября 2014 г.	0	137,90	797 896 850,00 _
ГАЗПРОМ ао	M	среда, 1 октября 2014 г.	0	141,50	857 933 800,00 _
ГАЗПРОМ ао	M	суббота, 1 ноября 2014 г.	0	142,86	691 989 260,00 _
ГАЗПРОМ ао	M	понедельник, 1 декабря 2014 г.	0	130,31	983 856 510,00 _
ГАЗПРОМ ао	M	четверг, 1 января 2015 г.	0	143,82	652 102 830,00 _
ГАЗПРОМ ао	M	воскресенье, 1 февраля 2015 г.	0	152,95	919 520 350,00 _
ГАЗПРОМ ао	M	воскресенье, 1 марта 2015 г.	0	138,90	718 069 290,00 _
ГАЗПРОМ ао	M	среда, 1 апреля 2015 г.	0	153,50	821 523 460,00 _
ГАЗПРОМ ао	M	пятница, 1 мая 2015 г.	0	139,00	472 091 480,00 _
ГАЗПРОМ ао	M	понедельник, 1 июня 2015 г.	0	145,85	533 051 950,00 _
ГАЗПРОМ ао	M	среда, 1 июля 2015 г.	0	142,50	543 868 920,00 _
ГАЗПРОМ ао	M	суббота, 1 августа 2015 г.	0	148,19	654 231 910,00 _
ГАЗПРОМ ао	M	вторник, 1 сентября 2015 г.	0	134,55	646 257 900,00 _
ГАЗПРОМ ао	M	четверг, 1 октября 2015 г.	0	135,75	727 388 150,00 _
ГАЗПРОМ ао	M	воскресенье, 1 ноября 2015 г.	0	138,00	785 173 850,00 _
ГАЗПРОМ ао	M	вторник, 1 декабря 2015 г.	0	136,09	632 658 380,00 _
ГАЗПРОМ ао	M	пятница, 1 января 2016 г.	0	136,60	614 480 400,00 _
ГАЗПРОМ ао	M	понедельник, 1 февраля 2016 г.	0	141,40	642 613 120,00 _
ГАЗПРОМ ао	M	вторник, 1 марта 2016 г.	0	147,75	731 620 780,00 _
ГАЗПРОМ ао	M	пятница, 1 апреля 2016 г.	0	168,47	941 606 540,00 _
ГАЗПРОМ ао	M	воскресенье, 1 мая 2016 г.	0	145,50	662 677 050,00 _
ГАЗПРОМ ао	M	среда, 1 июня 2016 г.	0	139,51	538 549 300,00 _
ГАЗПРОМ ао	M	пятница, 1 июля 2016 г.	0	137,30	505 531 930,00 _
ГАЗПРОМ ао	M	понедельник, 1 августа 2016 г.	0	134,95	472 860 350,00 _
ГАЗПРОМ ао	M	четверг, 1 сентября 2016 г.	0	134,90	567 536 440,00 _
ГАЗПРОМ ао	M	суббота, 1 октября 2016 г.	0	138,84	409 341 480,00 _
ГАЗПРОМ ао	M	вторник, 1 ноября 2016 г.	0	148,80	735 320 710,00 _
ГАЗПРОМ ао	M	четверг, 1 декабря 2016 г.	0	154,55	680 484 920,00 _
ГАЗПРОМ ао	M	воскресенье, 1 января 2017 г.	0	149,80	508 472 070,00 _
ГАЗПРОМ ао	M	среда, 1 февраля 2017 г.	0	134,00	618 092 220,00 _
ГАЗПРОМ ао	M	среда, 1 марта 2017 г.	0	127,90	754 410 290,00 _
ГАЗПРОМ ао	M	суббота, 1 апреля 2017 г.	0	136,75	750 182 400,00 _
ГАЗПРОМ ао	M	понедельник, 1 мая 2017 г.	0	120,28	683 155 600,00 _
ГАЗПРОМ ао	M	четверг, 1 июня 2017 г.	0	118,49	682 977 210,00 _
ГАЗПРОМ ао	M	суббота, 1 июля 2017 г.	0	116,10	572 372 360,00 _
ГАЗПРОМ ао	M	вторник, 1 августа 2017 г.	0	117,97	490 084 870,00 _
ГАЗПРОМ ао	M	пятница, 1 сентября 2017 г.	0	122,20	615 131 840,00 _
ГАЗПРОМ ао	M	воскресенье, 1 октября 2017 г.	0	125,90	511 657 140,00 _
ГАЗПРОМ ао	M	среда, 1 ноября 2017 г.	0	132,15	670 673 200,00 _
ГАЗПРОМ ао	M	пятница, 1 декабря 2017 г.	0	130,50	417 311 690,00 _
ГАЗПРОМ ао	M	понедельник, 1 января 2018 г.	0	143,36	758 630 450,00 _
ГАЗПРОМ ао	M	четверг, 1 февраля 2018 г.	0	143,16	675 058 310,00 _
ГАЗПРОМ ао	M	четверг, 1 марта 2018 г.	0	142,33	550 336 390,00 _
ГАЗПРОМ ао	M	воскресенье, 1 апреля 2018 г.	0	145,93	654 967 610,00 _
ГАЗПРОМ ао	M	вторник, 1 мая 2018 г.	0	145,00	457 602 320,00 _
ГАЗПРОМ ао	M	пятница, 1 июня 2018 г.	0	141,01	439 786 830,00 _
ГАЗПРОМ ао	M	воскресенье, 1 июля 2018 г.	0	143,79	403 411 200,00 _
ГАЗПРОМ ао	M	среда, 1 августа 2018 г.	0	149,95	441 314 630,00 _
ГАЗПРОМ ао	M	суббота, 1 сентября 2018 г.	0	162,61	553 952 660,00 _
ГАЗПРОМ ао	M	понедельник, 1 октября 2018 г.	0	155,47	708 218 240,00 _
ГАЗПРОМ ао	M	четверг, 1 ноября 2018 г.	0	161,29	554 088 010,00 _
ГАЗПРОМ ао	M	суббота, 1 декабря 2018 г.	0	153,50	435 896 450,00 _
ГАЗПРОМ ао	M	вторник, 1 января 2019 г.	0	162,82	394 617 870,00 _
ГАЗПРОМ ао	M	пятница, 1 февраля 2019 г.	0	158,99	394 761 860,00 _
ГАЗПРОМ ао	M	пятница, 1 марта 2019 г.	0	149,61	424 906 810,00 _
ГАЗПРОМ ао	M	понедельник, 1 апреля 2019 г.	0	163,95	576 420 680,00 _
ГАЗПРОМ ао	M	среда, 1 мая 2019 г.	0	215,10	1 077 221 090,00 _
ГАЗПРОМ ао	M	суббота, 1 июня 2019 г.	0	232,83	918 359 340,00 _
ГАЗПРОМ ао	M	понедельник, 1 июля 2019 г.	0	236,90	1 185 460 410,00 _
ГАЗПРОМ ао	M	четверг, 1 августа 2019 г.	0	232,15	715 634 720,00 _
